# LABEL 検査の据え置き分 (file	ラベル	リンク先title	リンク先パス)。手編集せず
# node tools/checkJaTranslation.js --update-label-baseline で再生成する。
# 減らす方向の再生成のみ可。増える再生成は新規違反の隠蔽なので禁止。
docs/ja/develop/4-4-news-template.md	公式アップデートページ	参加のはじめ方	develop/1-start.md
docs/ja/people/characters/special3.md	唐仙児	画中仙	people/characters/special813.md
docs/ja/people/characters/special3.md	問答集2024-10-31	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/special3.md	妹	葉雲裳	people/characters/girl2.md
docs/ja/people/characters/special3.md	妹	葉雲裳	people/characters/girl2.md
docs/ja/people/characters/special3.md	妹	葉雲裳	people/characters/girl2.md
docs/ja/people/characters/special3.md	妹	葉雲裳	people/characters/girl2.md
docs/ja/people/characters/special3.md	妹	葉雲裳	people/characters/girl2.md
docs/ja/people/characters/special3.md	妹婉清	段婉清	people/characters/special836.md
docs/ja/people/characters/special4.md	幇主	王二壮	people/characters/special401.md
docs/ja/people/characters/special4.md	龍大叔	龍淵	people/characters/special2.md
docs/ja/people/characters/special401.md	友人	南宮遠	people/characters/special101.md
docs/ja/people/characters/special401.md	天道法王	車軒轅	people/characters/special409.md
docs/ja/people/characters/special401.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special401.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special402.md	奪魄幽蘭	夏侯蘭	people/characters/girl5.md
docs/ja/people/characters/special402.md	杏花仙	瑞杏	people/characters/girl1.md
docs/ja/people/characters/special403.md	左護法	李元棄	people/characters/special213.md
docs/ja/people/characters/special403.md	極楽教との決戦	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/characters/special405.md	掌門	鄒博	people/characters/special201.md
docs/ja/people/characters/special405.md	掌門	鄒博	people/characters/special201.md
docs/ja/people/characters/special405.md	父親	龍淵	people/characters/special2.md
docs/ja/people/characters/special407.md	王春暁	王二壮	people/characters/special401.md
docs/ja/people/characters/special407.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special407.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special407.md	鹿	唐鹿	people/characters/other10.md
docs/ja/people/characters/special408.md	狄傲	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/people/characters/special408.md	雷神脚	雷神腳	system/books/book_4006.md
docs/ja/people/characters/special409.md	問答集2024-10-28	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/special409.md	問答集2024-10-29	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/special409.md	覚空	万里鵬程	people/characters/special6.md
docs/ja/people/characters/special409.md	長春真人	丘處機	people/characters/special209.md
docs/ja/people/characters/special410.md	嵩山	嵩山派	people/factions/mount-song-sect.md
docs/ja/people/characters/special6.md	南宮の御大	南宮橫	people/characters/special104.md
docs/ja/people/characters/special6.md	旧魔教の教主	李仁友	people/characters/other7.md
docs/ja/people/characters/special6.md	極楽教主	李仁友	people/characters/other7.md
docs/ja/people/characters/special6.md	点蒼剣聖	無名	people/characters/special406.md
docs/ja/people/characters/special7.md	妻	石夫人	people/characters/special815.md
docs/ja/people/characters/special7.md	鉄布衫	金鐘罩	system/books/book_1030.md
docs/ja/people/characters/special801.md	江陵官道穀物略奪事件	江陵府官道の穀物奪取事件	event/stories/江陵府官道劫糧案.md
docs/ja/people/characters/special808.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/people/characters/special808.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/people/characters/special811.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/people/characters/special819.md	極楽教との決戦	汗青書35：慷慨、義に赴く	event/ends/end-35.md
